"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.0048183,1,0,0.5,0,0
-0.011532,0.0002931,0,-0.0048194,1,0.0014142,0.5,0.001,0.001
-0.023064,0.0005862,0,-0.0048206,1,0.0028284,0.5,0.002,0.002
-0.034595,0.00087929,0,-0.0048218,1,0.0042426,0.5,0.003,0.003
-0.046127,0.0011724,0,-0.0048229,1,0.0056569,0.5,0.004,0.004
-0.057659,0.0014655,0,-0.0048241,1,0.0070711,0.5,0.005,0.005
-0.069191,0.0017586,0,-0.0048253,1,0.0084853,0.5,0.006,0.006
-0.080723,0.0020517,0,-0.0048264,1,0.0098995,0.5,0.007,0.007
-0.092255,0.0023448,0,-0.0048276,1,0.011314,0.5,0.008,0.008
-0.10379,0.0026379,0,-0.0048288,1,0.012728,0.5,0.009,0.009
-0.11532,0.002931,0,-0.0048299,1,0.014142,0.5,0.01,0.01
-0.12365,0.0031366,0,-0.0048551,1,0.015556,0.5,0.011,0.011
-0.13197,0.0033422,0,-0.0048802,1,0.016971,0.5,0.012,0.012
-0.1403,0.0035478,0,-0.0049053,1,0.018385,0.5,0.013,0.013
-0.14863,0.0037535,0,-0.0049304,1,0.019799,0.5,0.014,0.014
-0.15695,0.0039591,0,-0.0049555,1,0.021213,0.5,0.015,0.015
-0.16528,0.0041647,0,-0.0049806,1,0.022627,0.5,0.016,0.016
-0.17361,0.0043703,0,-0.0050057,1,0.024042,0.5,0.017,0.017
-0.18193,0.004576,0,-0.0050308,1,0.025456,0.5,0.018,0.018
-0.19026,0.0047816,0,-0.0050559,1,0.02687,0.5,0.019,0.019
-0.19859,0.0049872,0,-0.005081,1,0.028284,0.5,0.02,0.02
-0.20442,0.0050147,0,-0.0051523,1,0.029698,0.5,0.021,0.021
-0.21025,0.0050422,0,-0.0052237,1,0.031113,0.5,0.022,0.022
-0.21608,0.0050698,0,-0.005295,1,0.032527,0.5,0.023,0.023
-0.22192,0.0050973,0,-0.0053663,1,0.033941,0.5,0.024,0.024
-0.22775,0.0051248,0,-0.0054376,1,0.035355,0.5,0.025,0.025
-0.23358,0.0051523,0,-0.0055089,1,0.03677,0.5,0.026,0.026
-0.23941,0.0051799,0,-0.0055802,1,0.038184,0.5,0.027,0.027
-0.24524,0.0052074,0,-0.0056515,1,0.039598,0.5,0.028,0.028
-0.25108,0.0052349,0,-0.0057228,1,0.041012,0.5,0.029,0.029
-0.25691,0.0052624,0,-0.0057941,1,0.042426,0.5,0.03,0.03
-0.26131,0.0051796,0,-0.0059156,1,0.043841,0.5,0.031,0.031
-0.26572,0.0050968,0,-0.0060371,1,0.045255,0.5,0.032,0.032
-0.27012,0.005014,0,-0.0061586,1,0.046669,0.5,0.033,0.033
-0.27453,0.0049311,0,-0.0062801,1,0.048083,0.5,0.034,0.034
-0.27893,0.0048483,0,-0.0064016,1,0.049497,0.5,0.035,0.035
-0.28334,0.0047655,0,-0.0065231,1,0.050912,0.5,0.036,0.036
-0.28774,0.0046827,0,-0.0066446,1,0.052326,0.5,0.037,0.037
